variant,l1i_size,l1d_size,l2_size,l1_assoc,l2_assoc,sim_ticks,ipc,cpi,l1d_miss_rate,l1i_miss_rate,l2_miss_rate,l1d_hit_rate,l1i_hit_rate,l2_hit_rate,l1d_misses,l2_misses
simple,32KiB,128KiB,512KiB,4,4,4394886368000,0.270014,3.703506,0.016797,0.0,0.746788,0.9832032895471963,0.9999997406866152,0.25321217549039327,5269836,3935766
simple,32KiB,32KiB,1MB,16,16,4402870701000,0.269525,3.710234,0.021642,0.0,0.515445,0.9783583905926416,0.9999997406866152,0.4845552683979477,6789885,3500029
simple,32KiB,64KiB,1MB,16,8,4380031142000,0.27093,3.690988,0.019532,0.0,0.56819,0.9804677788477045,0.9999997406866152,0.43180987859192416,6128081,3482156
simple,32KiB,32KiB,512KiB,8,4,4445663146000,0.26693,3.746295,0.021566,0.0,0.585251,0.9784344881148531,0.9999997406866152,0.41474918694248697,6766010,3960061
simple,32KiB,128KiB,512KiB,8,4,4400414605000,0.269675,3.708164,0.017351,0.0,0.722958,0.9826491752795967,0.9999997406866152,0.2770416609953989,5443685,3935864
simple,32KiB,32KiB,512KiB,4,4,4440461931000,0.267243,3.741912,0.021051,0.0,0.599567,0.9789494683352186,0.9999997406866152,0.40043252978903576,6604439,3960061
simple,32KiB,32KiB,512KiB,16,8,4460168930000,0.266062,3.758519,0.021642,0.0,0.60942,0.9783583905926416,0.9999997406866152,0.39057986904572384,6789885,4138151
simple,32KiB,128KiB,1MB,8,16,4361506003000,0.272081,3.675377,0.017351,0.0,0.645116,0.9826491752795967,0.9999997406866152,0.354883599869143,5443685,3512084
simple,32KiB,32KiB,1MB,4,8,4394968062000,0.270009,3.703575,0.021051,0.0,0.52659,0.9789494683352186,0.9999997406866152,0.473410273612034,6604439,3478053
simple,32KiB,128KiB,512KiB,16,8,4414184637000,0.268834,3.719768,0.01743,0.0,0.751021,0.9825698713026274,0.9999997406866152,0.24897887909833444,5468566,4107327
simple,32KiB,64KiB,256KiB,16,4,4481099559000,0.26482,3.776157,0.019532,0.0,0.749625,0.9804677788477045,0.9999997406866152,0.2503754178221279,6128081,4594078
simple,32KiB,64KiB,512KiB,8,4,4425416255000,0.268152,3.729233,0.019452,0.0,0.650156,0.9805479593406365,0.9999997406866152,0.3498435039516829,6102925,3968132
simple,32KiB,32KiB,256KiB,8,16,4521985019000,0.262425,3.81061,0.021566,0.0,0.713321,0.9784344881148531,0.9999997406866152,0.2866793646402226,6766010,4826637
simple,32KiB,64KiB,1MB,16,16,4382173883000,0.270798,3.692793,0.019532,0.0,0.571776,0.9804677788477045,0.9999997406866152,0.42822401221831424,6128081,3504132
simple,32KiB,32KiB,1MB,8,8,4400169277000,0.26969,3.707958,0.021566,0.0,0.514016,0.9784344881148531,0.9999997406866152,0.4859843456686343,6766010,3478053
simple,32KiB,64KiB,256KiB,4,16,4494884837000,0.264007,3.787773,0.018909,0.0,0.813831,0.981091389675484,0.9999997406866152,0.18616931620744964,5932428,4828337
simple,32KiB,32KiB,1MB,16,8,4400659810000,0.26966,3.708371,0.021642,0.0,0.512208,0.9783583905926416,0.9999997406866152,0.48779164541702,6789885,3478053
simple,32KiB,128KiB,256KiB,8,16,4472681253000,0.265318,3.769063,0.017351,0.0,0.877095,0.9826491752795967,0.9999997406866152,0.12290459283603616,5443685,4775003
simple,32KiB,64KiB,512KiB,4,4,4419997024000,0.26848,3.724666,0.018909,0.0,0.668841,0.981091389675484,0.9999997406866152,0.3311594491148608,5932428,3968132
simple,32KiB,64KiB,512KiB,16,4,4426039156000,0.268114,3.729758,0.019532,0.0,0.647488,0.9804677788477045,0.9999997406866152,0.3525122358552371,6128081,3968132
simple,32KiB,32KiB,1MB,8,16,4402317878000,0.269559,3.709768,0.021566,0.0,0.517263,0.9784344881148531,0.9999997406866152,0.48273654926657084,6766010,3500029
simple,32KiB,128KiB,256KiB,16,8,4469853183000,0.265486,3.766679,0.01743,0.0,0.865594,0.9825698713026274,0.9999997406866152,0.13440635290976943,5468566,4733923
simple,32KiB,32KiB,256KiB,8,8,4519570050000,0.262565,3.808575,0.021566,0.0,0.709708,0.9784344881148531,0.9999997406866152,0.2902919026476871,6766010,4802193
simple,32KiB,128KiB,1MB,8,4,4344925322000,0.273119,3.661404,0.017351,0.0,0.608289,0.9826491752795967,0.9999997406866152,0.39171056273854915,5443685,3311594
simple,32KiB,32KiB,256KiB,16,8,4520060584000,0.262537,3.808988,0.021642,0.0,0.707213,0.9783583905926416,0.9999997406866152,0.2927872649094467,6789885,4802193
simple,32KiB,128KiB,256KiB,4,8,4463702044000,0.265852,3.761496,0.016797,0.0,0.898194,0.9832032895471963,0.9999997406866152,0.10180598300653099,5269836,4733716
simple,32KiB,32KiB,256KiB,4,8,4514399980000,0.262866,3.804218,0.021051,0.0,0.727069,0.9789494683352186,0.9999997406866152,0.27293071786651746,6604439,4802193
simple,32KiB,128KiB,512KiB,8,16,4420457352000,0.268452,3.725054,0.017351,0.0,0.766405,0.9826491752795967,0.9999997406866152,0.2335948821010013,5443685,4172393
simple,32KiB,128KiB,256KiB,16,16,4473266592000,0.265283,3.769556,0.01743,0.0,0.873143,0.9825698713026274,0.9999997406866152,0.12685669566044186,5468566,4775212
simple,32KiB,64KiB,512KiB,16,16,4442277371000,0.267134,3.743442,0.019532,0.0,0.680241,0.9804677788477045,0.9999997406866152,0.3197587339816154,6128081,4168862
simple,32KiB,128KiB,1MB,16,8,4359954071000,0.272178,3.674069,0.01743,0.0,0.63816,0.9825698713026274,0.9999997406866152,0.3618404860860963,5468566,3490088
simple,32KiB,32KiB,512KiB,8,16,4461848174000,0.265962,3.759934,0.021566,0.0,0.614948,0.9784344881148531,0.9999997406866152,0.3850517126155372,6766010,4161007
simple,32KiB,128KiB,1MB,4,4,4339272504000,0.273475,3.656641,0.016797,0.0,0.628355,0.9832032895471963,0.9999997406866152,0.3716450421800822,5269836,3311594
simple,32KiB,128KiB,256KiB,8,8,4469401579000,0.265513,3.766299,0.017351,0.0,0.869536,0.9826491752795967,0.9999997406866152,0.1304635891750147,5443685,4733851
simple,32KiB,64KiB,512KiB,4,16,4436227032000,0.267498,3.738343,0.018909,0.0,0.702674,0.981091389675484,0.9999997406866152,0.29732580553163973,5932428,4168862
simple,32KiB,64KiB,1MB,8,8,4379439387000,0.270967,3.690489,0.019452,0.0,0.570532,0.9805479593406365,0.9999997406866152,0.42946798552729004,6102925,3482156
simple,32KiB,64KiB,256KiB,8,8,4493659935000,0.264079,3.786741,0.019452,0.0,0.780489,0.9805479593406365,0.9999997406866152,0.21951145182751305,6102925,4763594
simple,32KiB,128KiB,512KiB,16,16,4420916602000,0.268425,3.725441,0.01743,0.0,0.762912,0.9825698713026274,0.9999997406866152,0.23708838377835761,5468566,4172356
simple,32KiB,64KiB,1MB,4,8,4373989012000,0.271304,3.685896,0.018909,0.0,0.586928,0.981091389675484,0.9999997406866152,0.41307216158434423,5932428,3482156
simple,32KiB,64KiB,1MB,8,16,4381644418000,0.27083,3.692347,0.019452,0.0,0.574133,0.9805479593406365,0.9999997406866152,0.4258673393902266,6102925,3504132
simple,32KiB,64KiB,256KiB,4,8,4488108363000,0.264406,3.782063,0.018909,0.0,0.802919,0.981091389675484,0.9999997406866152,0.1970809317340126,5932428,4763600
simple,32KiB,64KiB,256KiB,16,16,4500716412000,0.263665,3.792687,0.019532,0.0,0.787867,0.9804677788477045,0.9999997406866152,0.2121328121621831,6128081,4828448
simple,32KiB,32KiB,512KiB,4,8,4454422678000,0.266405,3.753676,0.021051,0.0,0.626531,0.9789494683352186,0.9999997406866152,0.37346906362781485,6604439,4138151
simple,32KiB,128KiB,512KiB,8,8,4413686416000,0.268864,3.719348,0.017351,0.0,0.754447,0.9826491752795967,0.9999997406866152,0.24555257802516445,5443685,4107294
simple,32KiB,64KiB,1MB,4,16,4376186257000,0.271168,3.687748,0.018909,0.0,0.590632,0.981091389675484,0.9999997406866152,0.40936804086803447,5932428,3504132
simple,32KiB,64KiB,1MB,16,4,4365449877000,0.271835,3.6787,0.019532,0.0,0.539043,0.9804677788477045,0.9999997406866152,0.4609571176004588,6128081,3303527
simple,32KiB,32KiB,512KiB,8,8,4459577175000,0.266098,3.75802,0.021566,0.0,0.61157,0.9784344881148531,0.9999997406866152,0.38842956275048274,6766010,4138151
simple,32KiB,128KiB,512KiB,4,8,4408103575000,0.269205,3.714644,0.016797,0.0,0.779332,0.9832032895471963,0.9999997406866152,0.2206680505326113,5269836,4107282
simple,32KiB,128KiB,1MB,16,16,4362074396000,0.272045,3.675856,0.01743,0.0,0.642181,0.9825698713026274,0.9999997406866152,0.3578185368779244,5468566,3512084
simple,32KiB,32KiB,1MB,16,4,4386154027000,0.270552,3.696147,0.021642,0.0,0.4859,0.9783583905926416,0.9999997406866152,0.5140998738054483,6789885,3299412
simple,32KiB,64KiB,512KiB,8,16,4441701000000,0.267169,3.742956,0.019452,0.0,0.683045,0.9805479593406365,0.9999997406866152,0.31695500290086637,6102925,4168862
simple,32KiB,64KiB,512KiB,4,8,4433925658000,0.267637,3.736404,0.018909,0.0,0.698808,0.981091389675484,0.9999997406866152,0.30119241133943675,5932428,4145922
simple,32KiB,32KiB,512KiB,4,16,4456701462000,0.266269,3.755597,0.021051,0.0,0.629991,0.9789494683352186,0.9999997406866152,0.3700085830697775,6604439,4161007
simple,32KiB,32KiB,1MB,8,4,4385655707000,0.270583,3.695727,0.021566,0.0,0.487615,0.9784344881148531,0.9999997406866152,0.5123854012320227,6766010,3299412
simple,32KiB,128KiB,512KiB,4,16,4414952473000,0.268787,3.720415,0.016797,0.0,0.79168,0.9832032895471963,0.9999997406866152,0.20832046236808052,5269836,4172357
simple,32KiB,128KiB,512KiB,16,4,4400975216000,0.269641,3.708637,0.01743,0.0,0.719682,0.9825698713026274,0.9999997406866152,0.28031793804706173,5468566,3935934
simple,32KiB,64KiB,256KiB,16,8,4494212867000,0.264047,3.787207,0.019532,0.0,0.777292,0.9804677788477045,0.9999997406866152,0.22270782189130955,6128081,4763639
simple,32KiB,64KiB,512KiB,8,8,4439355569000,0.26731,3.740979,0.019452,0.0,0.679286,0.9805479593406365,0.9999997406866152,0.32071359510983233,6102925,4145922
simple,32KiB,32KiB,512KiB,16,4,4446130321000,0.266902,3.746688,0.021642,0.0,0.583193,0.9783583905926416,0.9999997406866152,0.4168069523787504,6789885,3960061
simple,32KiB,32KiB,1MB,4,4,4380485637000,0.270902,3.691371,0.021051,0.0,0.499543,0.9789494683352186,0.9999997406866152,0.5004571631538761,6604439,3299412
simple,32KiB,32KiB,1MB,4,16,4397171166000,0.269874,3.705431,0.021051,0.0,0.529917,0.9789494683352186,0.9999997406866152,0.47008302821723935,6604439,3500029
simple,32KiB,128KiB,1MB,16,4,4345408069000,0.273089,3.661811,0.01743,0.0,0.605522,0.9825698713026274,0.9999997406866152,0.3944779566245321,5468566,3311594
simple,32KiB,128KiB,1MB,4,8,4353787361000,0.272563,3.668872,0.016797,0.0,0.662223,0.9832032895471963,0.9999997406866152,0.3377768838729019,5269836,3490088
simple,32KiB,128KiB,256KiB,4,16,4466374390000,0.265693,3.763748,0.016797,0.0,0.904357,0.9832032895471963,0.9999997406866152,0.09564309920193691,5269836,4766196
simple,32KiB,128KiB,256KiB,8,4,4455241508000,0.266357,3.754366,0.017351,0.0,0.83461,0.9826491752795967,0.9999997406866152,0.16538959818769242,5443685,4543710
simple,32KiB,64KiB,256KiB,8,16,4500241451000,0.263693,3.792287,0.019452,0.0,0.791118,0.9805479593406365,0.9999997406866152,0.20888236933526166,6102925,4828467
simple,32KiB,32KiB,256KiB,4,4,4500580246000,0.263673,3.792573,0.021051,0.0,0.700436,0.9789494683352186,0.9999997406866152,0.29956366998073997,6604439,4626286
simple,32KiB,32KiB,256KiB,4,16,4516818227000,0.262725,3.806256,0.021051,0.0,0.73077,0.9789494683352186,0.9999997406866152,0.26922980840026506,6604439,4826637
simple,32KiB,128KiB,1MB,8,8,4359393461000,0.272213,3.673597,0.017351,0.0,0.641076,0.9826491752795967,0.9999997406866152,0.35892393043563237,5443685,3490088
simple,32KiB,32KiB,256KiB,16,4,4506294675000,0.263339,3.797388,0.021642,0.0,0.681307,0.9783583905926416,0.9999997406866152,0.31869286066363106,6789885,4626286
simple,32KiB,128KiB,256KiB,4,4,4449767774000,0.266684,3.749754,0.016797,0.0,0.862134,0.9832032895471963,0.9999997406866152,0.1378658737899079,5269836,4543671
simple,32KiB,64KiB,512KiB,16,8,4439885034000,0.267278,3.741426,0.019532,0.0,0.676498,0.9804677788477045,0.9999997406866152,0.32350189809749685,6128081,4145922
simple,32KiB,32KiB,512KiB,16,16,4462362067000,0.265932,3.760367,0.021642,0.0,0.612786,0.9783583905926416,0.9999997406866152,0.3872138955679337,6789885,4161007
simple,32KiB,128KiB,256KiB,16,4,4455846954000,0.26632,3.754877,0.01743,0.0,0.83081,0.9825698713026274,0.9999997406866152,0.16919047209813878,5468566,4543689
simple,32KiB,32KiB,256KiB,8,4,4505688026000,0.263374,3.796877,0.021566,0.0,0.683711,0.9784344881148531,0.9999997406866152,0.3162889049091442,6766010,4626286
simple,32KiB,128KiB,1MB,4,16,4355954403000,0.272428,3.670699,0.016797,0.0,0.666397,0.9832032895471963,0.9999997406866152,0.3336032757397168,5269836,3512084
simple,32KiB,64KiB,1MB,4,4,4359501182000,0.272206,3.673687,0.018909,0.0,0.556819,0.981091389675484,0.9999997406866152,0.44318061532632197,5932428,3303527
simple,32KiB,64KiB,256KiB,4,4,4475119719000,0.265173,3.771117,0.018909,0.0,0.774335,0.981091389675484,0.9999997406866152,0.22566549780779968,5932428,4594012
simple,32KiB,64KiB,1MB,8,4,4364920412000,0.271868,3.678254,0.019452,0.0,0.541265,0.9805479593406365,0.9999997406866152,0.4587353598819271,6102925,3303527
simple,32KiB,64KiB,256KiB,8,4,4480507804000,0.264855,3.775658,0.019452,0.0,0.752704,0.9805479593406365,0.9999997406866152,0.24729619754662563,6102925,4594014
